"","patents","region","age","iscustomer"
"1",0,"Midwest",32.5,0
"786",3,"Southwest",37.5,0
"348",4,"Northwest",27,1
"927",3,"Northeast",24.5,0
"830",3,"Southwest",37,0
"1046",6,"Northeast",29.5,0
"709",5,"Southwest",27,0
"1291",5,"Northeast",20.5,1
"967",6,"Northeast",25,0
"10",4,"Midwest",29.5,0
"11",2,"Midwest",36,0
"658",3,"Southwest",18,0
"13",7,"Midwest",21,0
"265",4,"Northwest",19.5,1
"15",5,"Midwest",32.5,0
"257",4,"Northwest",28,0
"956",2,"Northeast",28.5,0
"576",2,"South",29.5,0
"1180",2,"Northeast",33,0
"578",5,"South",23.5,1
"876",10,"Southwest",33,0
"804",4,"Southwest",18,0
"1022",6,"Northeast",23.5,1
"362",4,"Northwest",26.5,0
"1308",1,"Northeast",31.5,0
"514",5,"South",23.5,1
"984",3,"Northeast",30,0
"840",0,"Southwest",38,0
"235",1,"Northwest",38,0
"1190",2,"Northeast",18.5,0
"948",0,"Northeast",30.5,0
"951",9,"Northeast",28,0
"775",3,"Southwest",12,0
"1074",1,"Northeast",28.5,0
"1196",7,"Northeast",35,0
"696",3,"Southwest",27.5,0
"1077",5,"Northeast",31,0
"38",5,"Midwest",27.5,0
"396",2,"Northwest",14.5,0
"40",3,"Midwest",27,0
"599",4,"South",35,1
"436",4,"South",26.5,0
"43",5,"Midwest",21.5,0
"662",3,"Southwest",28,0
"964",10,"Northeast",19,1
"614",1,"Southwest",19.5,0
"905",1,"Northeast",24,1
"966",7,"Northeast",38.5,0
"1129",1,"Northeast",33.5,0
"394",8,"Northwest",25,0
"1090",0,"Northeast",31,0
"472",3,"South",37,1
"687",3,"Southwest",24.5,0
"632",6,"Southwest",30,0
"340",2,"Northwest",24,0
"719",1,"Southwest",25,0
"635",1,"Southwest",24.5,0
"975",11,"Northeast",25.5,0
"228",2,"Northwest",32.5,0
"250",4,"Northwest",22,0
"370",5,"Northwest",23.5,0
"681",1,"Southwest",25,0
"499",0,"South",35,0
"64",3,"Midwest",27,0
"1144",8,"Northeast",22.5,0
"66",5,"Midwest",20,0
"957",6,"Northeast",32.5,0
"280",2,"Northwest",24,0
"729",3,"Southwest",19.5,1
"70",3,"Midwest",26.5,0
"959",4,"Northeast",27.5,0
"1112",5,"Northeast",24,0
"918",2,"Northeast",15,0
"1235",4,"Northeast",16,0
"603",0,"Southwest",28,0
"76",3,"Midwest",16,0
"930",0,"Northeast",26.5,0
"820",3,"Southwest",21,0
"79",7,"Midwest",31.5,0
"388",0,"Northwest",34.5,0
"1243",1,"Northeast",37,0
"82",7,"Midwest",24,0
"461",1,"South",42,0
